keyword,type,date,index
豆油期货,pc,2011-02-19,150
豆油期货,wise,2011-02-19,63
豆油期货,all,2011-02-20,154
豆油期货,pc,2011-02-20,95
豆油期货,wise,2011-02-20,65
豆油期货,all,2011-02-21,224
豆油期货,pc,2011-02-21,114
豆油期货,wise,2011-02-21,67
豆油期货,all,2011-02-22,209
豆油期货,pc,2011-02-22,148
豆油期货,wise,2011-02-22,70
豆油期货,all,2011-02-23,221
豆油期货,pc,2011-02-23,135
豆油期货,wise,2011-02-23,70
豆油期货,all,2011-02-24,220
豆油期货,pc,2011-02-24,106
豆油期货,wise,2011-02-24,74
豆油期货,all,2011-02-25,199
豆油期货,pc,2011-02-25,120
豆油期货,wise,2011-02-25,76
豆油期货,all,2011-02-26,173
豆油期货,pc,2011-02-26,112
豆油期货,wise,2011-02-26,67
豆油期货,all,2011-02-27,172
豆油期货,pc,2011-02-27,93
豆油期货,wise,2011-02-27,70
豆油期货,all,2011-02-28,220
豆油期货,pc,2011-02-28,87
豆油期货,wise,2011-02-28,66
豆油期货,all,2011-03-01,218
豆油期货,pc,2011-03-01,131
豆油期货,wise,2011-03-01,63
豆油期货,all,2011-03-02,207
豆油期货,pc,2011-03-02,120
豆油期货,wise,2011-03-02,70
豆油期货,all,2011-03-03,225
豆油期货,pc,2011-03-03,104
豆油期货,wise,2011-03-03,79
豆油期货,all,2011-03-04,224
豆油期货,pc,2011-03-04,135
豆油期货,wise,2011-03-04,84
豆油期货,all,2011-03-05,157
豆油期货,pc,2011-03-05,97
豆油期货,wise,2011-03-05,66
豆油期货,all,2011-03-06,182
豆油期货,pc,2011-03-06,99
豆油期货,wise,2011-03-06,61
豆油期货,all,2011-03-07,199
豆油期货,pc,2011-03-07,76
豆油期货,wise,2011-03-07,66
豆油期货,all,2011-03-08,215
豆油期货,pc,2011-03-08,102
豆油期货,wise,2011-03-08,76
豆油期货,all,2011-03-09,192
豆油期货,pc,2011-03-09,129
豆油期货,wise,2011-03-09,67
豆油期货,all,2011-03-10,216
豆油期货,pc,2011-03-10,118
豆油期货,wise,2011-03-10,83
豆油期货,all,2011-03-11,203
豆油期货,pc,2011-03-11,97
豆油期货,wise,2011-03-11,74
豆油期货,all,2011-03-12,171
豆油期货,pc,2011-03-12,129
豆油期货,wise,2011-03-12,74
豆油期货,all,2011-03-13,148
豆油期货,pc,2011-03-13,97
豆油期货,wise,2011-03-13,61
豆油期货,all,2011-03-14,237
豆油期货,pc,2011-03-14,83
豆油期货,wise,2011-03-14,87
豆油期货,all,2011-03-15,241
豆油期货,pc,2011-03-15,95
豆油期货,wise,2011-03-15,87
豆油期货,all,2011-03-16,208
豆油期货,pc,2011-03-16,135
豆油期货,wise,2011-03-16,83
豆油期货,all,2011-03-17,213
豆油期货,pc,2011-03-17,104
豆油期货,wise,2011-03-17,78
豆油期货,all,2011-03-18,197
豆油期货,pc,2011-03-18,110
豆油期货,wise,2011-03-18,79
豆油期货,all,2011-03-19,160
豆油期货,pc,2011-03-19,110
豆油期货,wise,2011-03-19,65
豆油期货,all,2011-03-20,163
豆油期货,pc,2011-03-20,93
豆油期货,wise,2011-03-20,61
豆油期货,all,2011-03-21,208
豆油期货,pc,2011-03-21,85
豆油期货,wise,2011-03-21,79
豆油期货,all,2011-03-22,228
豆油期货,pc,2011-03-22,95
豆油期货,wise,2011-03-22,73
豆油期货,all,2011-03-23,246
豆油期货,pc,2011-03-23,87
豆油期货,wise,2011-03-23,96
豆油期货,all,2011-03-24,269
豆油期货,pc,2011-03-24,101
豆油期货,wise,2011-03-24,92
豆油期货,all,2011-03-25,209
豆油期货,pc,2011-03-25,118
豆油期货,wise,2011-03-25,78
豆油期货,all,2011-03-26,168
豆油期货,pc,2011-03-26,85
豆油期货,wise,2011-03-26,58
豆油期货,all,2011-03-27,155
豆油期货,pc,2011-03-27,87
豆油期货,wise,2011-03-27,66
豆油期货,all,2011-03-28,189
豆油期货,pc,2011-03-28,74
豆油期货,wise,2011-03-28,71
豆油期货,all,2011-03-29,203
豆油期货,pc,2011-03-29,121
豆油期货,wise,2011-03-29,70
豆油期货,all,2011-03-30,167
豆油期货,pc,2011-03-30,89
豆油期货,wise,2011-03-30,74
豆油期货,all,2011-03-31,163
豆油期货,pc,2011-03-31,72
豆油期货,wise,2011-03-31,57
豆油期货,all,2011-04-01,221
豆油期货,pc,2011-04-01,82
豆油期货,wise,2011-04-01,79
豆油期货,all,2011-04-02,152
豆油期货,pc,2011-04-02,87
豆油期货,wise,2011-04-02,65
豆油期货,all,2011-04-03,129
豆油期货,pc,2011-04-03,110
豆油期货,wise,2011-04-03,57
豆油期货,all,2011-04-04,85
豆油期货,pc,2011-04-04,129
豆油期货,wise,2011-04-04,0
豆油期货,all,2011-04-05,160
豆油期货,pc,2011-04-05,142
豆油期货,wise,2011-04-05,58
豆油期货,all,2011-04-06,192
豆油期货,pc,2011-04-06,139
豆油期货,wise,2011-04-06,82
豆油期货,all,2011-04-07,203
豆油期货,pc,2011-04-07,125
豆油期货,wise,2011-04-07,70
豆油期货,all,2011-04-08,183
豆油期货,pc,2011-04-08,89
豆油期货,wise,2011-04-08,71
豆油期货,all,2011-04-09,162
豆油期货,pc,2011-04-09,80
豆油期货,wise,2011-04-09,61
豆油期货,all,2011-04-10,165
豆油期货,pc,2011-04-10,78
豆油期货,wise,2011-04-10,66
豆油期货,all,2011-04-11,188
豆油期货,pc,2011-04-11,82
豆油期货,wise,2011-04-11,70
豆油期货,all,2011-04-12,194
豆油期货,pc,2011-04-12,106
豆油期货,wise,2011-04-12,78
豆油期货,all,2011-04-13,202
豆油期货,pc,2011-04-13,85
豆油期货,wise,2011-04-13,73
豆油期货,all,2011-04-14,206
豆油期货,pc,2011-04-14,93
豆油期货,wise,2011-04-14,79
豆油期货,all,2011-04-15,189
豆油期货,pc,2011-04-15,112
豆油期货,wise,2011-04-15,66
豆油期货,all,2011-04-16,168
豆油期货,pc,2011-04-16,150
